情境 ID	情境名稱	順序	說話者	泰文	目的達拼音	中文	來源課次
D01	初次見面	1	A	สวัสดีค่ะ	saˇ watˇ dhī kaˋ	你好	初 4-5
D01	初次見面	2	B	คุณสบายดีไหม	kun saˇ bhāi dhī maiˊ	你好嗎？	中 1-1
D01	初次見面	3	A	ฉันสบายดี	chanˊ saˇ bhāi dhī	我很好	初 5-5
D01	初次見面	4	B	คุณมาจากไหน	kun mā jākˇ naiˊ	你從哪裡來	初 2-1
D01	初次見面	5	A	มาจากไต้หวัน	mā jākˇ daiˋ wanˊ	來自台灣	初 2-1
D01	初次見面	6	B	ยินดีที่ได้รู้จัก	yin dhī tīˋ dhaiˋ rū~ jakˇ	很高興認識你	初 2-4
D02	一起吃飯	1	A	หิวไหม	hiwˊ maiˊ	餓嗎？	初 1
D02	一起吃飯	2	B	หิวมาก	hiwˊ mākˋ	很餓	初 1
D02	一起吃飯	3	A	คุณอยากกินอะไร	kun yākˋ gin aˇ rai	你要吃什麼？	初 1
D02	一起吃飯	4	B	อยากกินข้าวหมูแดง	yākˋ gin kāuˋ mūˊ dhɛ̄ng	想吃叉燒飯（紅豬肉飯）	初 4-7
D02	一起吃飯	5	A	ร้านนี้อร่อยไหม	rān~ nī~ aˇ rɔ̄iˋ maiˊ	這間餐廳好吃嗎？	初 5-3
D02	一起吃飯	6	B	อร่อยมาก	aˇ rɔ̄iˋ mākˋ	很好吃	初 1
D03	市場議價	1	A	ลูกละเท่าไหร่	lūkˋ la~ tāuˋ raiˇ	一顆多少錢？	初 2-1
D03	市場議價	2	B	50 บาท	50 bhātˇ	50泰銖	初 2-2
D03	市場議價	3	A	แพงเกินไป ถูกหน่อยได้ไหม	pɛ̄ng gə̄n bai tūkˇ nɔ̄iˇ dhaiˋ maiˊ	太貴了，可以便宜一點嗎？	初 5-1
D03	市場議價	4	B	ได้ค่ะ	dhaiˋ kaˋ	可以的	初 2-6
D03	市場議價	5	A	ขอบคุณค่ะ	kɔ̄pˇ kun kaˋ	謝謝	初 2-1
D03	市場議價	6	B	ไม่เป็นไร	maiˋ ben rai	沒關係	初 1
D04	問按摩店	1	A	ร้านนวดอยู่ที่ไหน	rān~ nūatˋ yūˋ tīˋ naiˊ	按摩店在哪裡	初 3-2
D04	問按摩店	2	B	เดินตรงไป	dhə̄n drong bai	直走(走路)	初 3-2
D04	問按摩店	3	A	เลี้ยวซ้ายหรือเลี้ยวขวา	līau~ sāi~ rɯ̄ˊ līau~ kwāˊ	左轉或是右轉	初 3-2
D04	問按摩店	4	B	แล้วก็เลี้ยวขวา	lɛ̄u~ gɔ̄ˋ līau~ kwāˊ	然後右轉	初 3-2
D04	問按摩店	5	A	ไกลหรือเปล่า	glai rɯ̄ˊ blāuˇ	遠嗎	初 2-1
D04	問按摩店	6	B	ไม่ไกล	maiˋ glai	不遠	初 3-1
D05	預約按摩	1	A	เสาร์นี้ว่างไหม	sāuˊ nī~ wāngˋ maiˊ	這個星期六有空嗎	中 1-6
D05	預約按摩	2	B	ว่าง	wāngˋ	有空 / 空的	初 3-3
D05	預約按摩	3	A	อยากไปนวด	yākˋ bai nūatˋ	想去按摩	中 1-3
D05	預約按摩	4	B	ได้ค่ะ	dhaiˋ kaˋ	可以的	初 2-6
D05	預約按摩	5	A	จะจองกี่โมงคะ	jaˇ jɔ̄ng gīˇ mōng ka~	要訂幾點？	初 4-4
D05	預約按摩	6	B	หนึ่งทุ่ม	nɯngˇ tumˋ	晚上七點	初 3-5
D06	聊工作	1	A	ทำงานที่ไหน	tam ngān tīˋ naiˊ	在哪裡工作？	初 2-5
D06	聊工作	2	B	ทำงานที่บ้าน	tam ngān tīˋ bhānˋ	在家工作	初 2-6
D06	聊工作	3	A	เริ่มงานกี่โมง	rə̄mˋ ngān gīˇ mōng	幾點開始工作？	中 1-2
D06	聊工作	4	B	เริ่มงานเก้าโมงเช้า	rə̄mˋ ngān gāuˋ mōng chāu~	早上九點開始上班	中 2-4
D06	聊工作	5	A	เลิกงานหรือยัง	lə̄kˋ ngān rɯ̄ˊ yang	下班了嗎？	中 1-3
D06	聊工作	6	B	ยังไม่เลิกงาน	yang maiˋ lə̄kˋ ngān	還沒下班	中 1-3
D07	看醫生	1	A	เป็นอะไร	ben aˇ rai	怎麼了？	初 5-4
D07	看醫生	2	B	ปวดหัว	būatˇ hūaˊ	頭痛	初 2-5
D07	看醫生	3	A	เป็นไข้กี่วันแล้ว	ben kaiˋ gīˇ wan lɛ̄u~	發燒幾天了？	中 1-1
D07	看醫生	4	B	มีไข้สองสามวันแล้ว	mī kaiˋ sɔ̄ngˊ sāmˊ wan lɛ̄u~	發燒兩三天了	中 1-1
D07	看醫生	5	A	แพ้ยาอะไรมั้ยคะ	pɛ̄~ yā aˇ rai mai~ ka~	對什麼藥過敏嗎？	中 2-1
D07	看醫生	6	B	ไม่แพ้ค่ะ	maiˋ pɛ̄~ kaˋ	不會過敏	中 2-1
D08	週末約吃飯	1	A	เสาร์อาทิตย์นี้ว่างไหม	sāuˊ ā tit~ nī~ wāngˋ maiˊ	這個週末有空嗎？	初 3-總複習
D08	週末約吃飯	2	B	ว่าง	wāngˋ	有空 / 空的	初 3-3
D08	週末約吃飯	3	A	ไปกินข้าวด้วยกันไหม	bai gin kāuˋ dhūayˋ gan maiˊ	一起去吃飯嗎？	初 2-2
D08	週末約吃飯	4	B	ได้ค่ะ	dhaiˋ kaˋ	可以的	初 2-6
D08	週末約吃飯	5	A	เจอกันประมาณกี่โมง	jə̄ gan braˇ mān gīˇ mōng	大約幾點見面	初 3-總複習
D08	週末約吃飯	6	B	หนึ่งทุ่ม	nɯngˇ tumˋ	晚上七點	初 3-5
D09	清邁旅行	1	A	อยากไปเที่ยวที่ไหน	yākˋ bai tīauˋ tīˋ naiˊ	想去哪裡玩？	初 2-3
D09	清邁旅行	2	B	เชียงใหม่	chīang maiˇ	清邁	初 3-7
D09	清邁旅行	3	A	ตอนไหน	dɔ̄n naiˊ	什麼時候 / 哪個時候	初 4-5
D09	清邁旅行	4	B	เดือนหน้า	dhɯ̄an nāˋ	下個月	初 3-4
D09	清邁旅行	5	A	ไปกับใคร	bai gapˇ krai	跟誰去？	初 2-3
D09	清邁旅行	6	B	ไปกับเพื่อน	bai gapˇ pɯ̄anˋ	跟朋友去	初 2-3
D10	聊天氣	1	A	วันนี้อากาศเป็นยังไง	wan nī~ ā gātˇ ben yang ngai	今天天氣怎麼樣	初 5-3
D10	聊天氣	2	B	อากาศเย็นสบาย	ā gātˇ yen saˇ bhāi	天氣涼爽舒適	初 5-3
D10	聊天氣	3	A	หนาวไหม	nāuˊ maiˊ	冷嗎	初 2-1
D10	聊天氣	4	B	รู้สึกหนาว	rū~ sɯkˇ nāuˊ	覺得很冷	初 5-3
D10	聊天氣	5	A	พรุ่งนี้อุณหภูมิเท่าไหร่	prungˋ nī~ uˇ na~ pūm tāuˋ raiˇ	明天溫度幾度	初 5-6
D10	聊天氣	6	B	พรุ่งนี้อุณหภูมิจะต่ำลง	prungˋ nī~ uˇ na~ pūm jaˇ damˇ long	明天氣溫會降低	初 5-8
