泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
เรียนภาษาอังกฤษ	rian pasa angkrit	rīan pā sāˊ ang gritˇ	學英文	derived	
พูดภาษาอังกฤษ	pood pasa angkrit	pūtˋ pā sāˊ ang gritˇ	說英文	derived	
พูดภาษาอังกฤษเป็นไหม	pood pasa angkrit pen mai	pūtˋ pā sāˊ ang gritˇ ben maiˊ	會說英文嗎	derived	
ไม่มีใครพูดภาษาอังกฤษ	mai mii khrai phuut phasaa ang-grit	maiˋ mī krai pūtˋ pā sāˊ ang gritˇ	沒有人說英文	derived	
สเต็กของใคร	sa-tek khong khrai	saˇ dekˇ kɔ̄ngˊ krai	牛排是誰的	derived	
ภรรยา	phan-ra-yaa	pan yā	妻子	derived	
สามีภรรยา	saa mii phan-ra-yaa	sāˊ mī pan yā	夫妻	derived	
เมียหลวง	mia luang	mīa lūangˊ	大老婆	engine-auto	
หลวง	luang	lūangˊ	皇家、大的	engine-auto	
ในหลวง	nai luang	nai lūangˊ	國王	engine-auto	
ภรรยา	phan ra yaa	pan yā	妻子	derived	
ครูภาษาอังกฤษ	khruu phasaa anggrit	krū pā sāˊ ang gritˇ	英文老師	derived	
พวกเรา	phuak rao	pūakˋ rāu	我們	engine-auto	
พวกผม	phuak phom	pūakˋ pomˊ	我們 (全部是男性時)	engine-auto	
พวกฉัน	phuak chan	pūakˋ chanˊ	我們 (全部是女性時)	engine-auto	
พวกเรามาจากไต้หวัน	phuak rao maa jaak taiwan	pūakˋ rāu mā jākˇ daiˋ wanˊ	我們來自台灣	engine-auto	
พวกคุณ	phuak khun	pūakˋ kun	你們	engine-auto	
พวกเขา	phuak khao	pūakˋ kāuˊ	他們	engine-auto	
พวกมัน	phuak man	pūakˋ man	牠們 / 他們 (朋友間口語)	engine-auto	
ทั้งหมด	thang mot	tang~ motˇ	全部、總共	derived	
มีพี่น้องทั้งหมดกี่คน	mii phii nong thang mot gii khon	mī pīˋ nɔ̄ng~ tang~ motˇ gīˇ kon	總共有幾個兄弟姐妹？	derived	
คุณมีพี่น้องทั้งหมดกี่คน	khun mii phii nong thang mot gii khon	kun mī pīˋ nɔ̄ng~ tang~ motˇ gīˇ kon	你總共有幾個兄弟姐妹？	derived	
ภรรยา	phan ra yaa	pan yā	妻子	derived	
ภรรยาไปตลาด	phan ra yaa pai ta lad	pan yā bai daˇ lātˋ	妻子去市場	derived	
ภรรยาไปตลาดซื้อผัก	phan ra yaa pai ta lad seu phak	pan yā bai daˇ lātˋ sɯ̄~ pakˇ	妻子去市場買菜	derived	
เมียหลวง	mia luang	mīa lūangˊ	大老婆、元配	engine-auto	
พวกคุณ	phuak khun	pūakˋ kun	你們	engine-auto	
ครูของพวกคุณ	khruu khong phuak khun	krū kɔ̄ngˊ pūakˋ kun	你們的老師	engine-auto	
