泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
เรียนภาษาอังกฤษ	rian pasa angkrit	學英文	初 2-1	กฤษ
พูดภาษาอังกฤษ	pood pasa angkrit	說英文	初 2-1	กฤษ
พูดภาษาอังกฤษเป็นไหม	pood pasa angkrit pen mai	會說英文嗎	初 2-1	กฤษ
ไม่มีใครพูดภาษาอังกฤษ	mai mii khrai phuut phasaa ang-grit	沒有人說英文	初 2-1	กฤษ
สเต็กของใคร	sa-tek khong khrai	牛排是誰的	初 2-1	สเต็ก
ภรรยา	phan-ra-yaa	妻子	初 2-1	ภรร
สามีภรรยา	saa mii phan-ra-yaa	夫妻	初 2-1	ภรร
เมียหลวง	mia luang	大老婆	初 2-1	หลวง
หลวง	luang	皇家、大的	初 2-1	หลวง
ในหลวง	nai luang	國王	初 2-1	หลวง
ภรรยา	phan ra yaa	妻子	初 2-1	ภรร
ครูภาษาอังกฤษ	khruu phasaa anggrit	英文老師	初 2-1	กฤษ
พวกเรา	phuak rao	我們	初 2-1	พวก
พวกผม	phuak phom	我們 (全部是男性時)	初 2-1	พวก
พวกฉัน	phuak chan	我們 (全部是女性時)	初 2-1	พวก
พวกเรามาจากไต้หวัน	phuak rao maa jaak taiwan	我們來自台灣	初 2-1	พวก
พวกคุณ	phuak khun	你們	初 2-1	พวก
พวกเขา	phuak khao	他們	初 2-1	พวก
พวกมัน	phuak man	牠們 / 他們 (朋友間口語)	初 2-1	พวก
ทั้งหมด	thang mot	全部、總共	初 2-2	หมด
มีพี่น้องทั้งหมดกี่คน	mii phii nong thang mot gii khon	總共有幾個兄弟姐妹？	初 2-2	หมด
คุณมีพี่น้องทั้งหมดกี่คน	khun mii phii nong thang mot gii khon	你總共有幾個兄弟姐妹？	初 2-2	หมด
ภรรยา	phan ra yaa	妻子	初 2-2	ภรร
ภรรยาไปตลาด	phan ra yaa pai ta lad	妻子去市場	初 2-2	ภรร
ภรรยาไปตลาดซื้อผัก	phan ra yaa pai ta lad seu phak	妻子去市場買菜	初 2-2	ภรร
เมียหลวง	mia luang	大老婆、元配	初 2-2	หลวง
พวกคุณ	phuak khun	你們	初 2-2	พวก
ครูของพวกคุณ	khruu khong phuak khun	你們的老師	初 2-2	พวก
อาจารย์ของพวกคุณ	a jaan khong phuak khun	你們的老師	初 2-2	พวก
มีนักเรียนทั้งหมดกี่คน	mii nak rian thang mot gii khon	總共有幾個學生？	初 2-2	หมด
มีนักเรียนทั้งหมด 19 คน	mii nak rian thang mot sip kao khon	總共有19個學生	初 2-2	หมด
พวก	phuak	…們（用於組成複數代名詞）	初 2-2	พวก
พวกคุณ	phuak khun	你們	初 2-2	พวก
พวกคุณมาจากไหน	phuak khun maa jaak nai	你們來自哪裡？	初 2-2	พวก
พวกคุณมาจากไหนคะ	phuak khun maa jaak nai kha	(女) 你們來自哪裡？	初 2-2	น, พวก
พวกเรา	phuak rao	我們	初 2-2	พวก
พวกเรามาจากไต้หวัน	phuak rao maa jaak tai wan	我們來自台灣	初 2-2	พวก
พวกเราอยากเช่ารถ	phuak rao yaak chao rot	我們想租車	初 2-2	พวก
พวกเราอยากเช่ารถค่ะ	phuak rao yaak chao rot kha	(女) 我們想租車	初 2-2	พวก
พวกเขา	phuak khao	他們	初 2-2	พวก
พวกเขาเป็นใคร	phuak khao pen krai	他們是誰？	初 2-2	พวก
พวกเรา	phuak rao	我們	初 2-2	พวก
พวกเราเจอกันบ่อยๆ	phuak rao jer gan boi boi	我們常常見面	初 2-2	พวก
ชื่อเล่นหรือชื่อจริง	chue len reu chue jing	小名還是真名？	初 2-2	จริง
ชื่อจริง	chue jing	真名	初 2-2	จริง
จริง	jing	真的	初 2-2	จริง
