泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
สวัสดี ค่ะ / ครับ	sawatdee kha / khrap	saˇ watˇ dhī kaˋ / krap~	你好	derived	
เชิญ	cheun	chə̄n	請	derived	
ขอบคุณ ค่ะ/ครับ	khop khun kha/khrap	kɔ̄pˇ kun kaˋ/krap~	謝謝你	derived	
ไม่ต้องเกรงใจ	mai tong kreng jai	maiˋ dɔ̄ngˋ grēng jai	不用掛心、不客氣	derived	
ขอโทษ	kho thot	kɔ̄ˊ tōtˋ	對不起	derived	
ไม่เป็นไร	mai pen rai	maiˋben rai	沒關係	book-assisted	
ไม่รู้	mai ru	maiˋ rū~	不知道	derived	
บ๊ายบาย	bai bai	bái~ bāi	再見	derived	
สู้ ๆ	suu suu	sūˋsūˋ	加油	book-exact	
โชคดีนะ	chok dee na	chōkˋ dhī na~	祝好運	derived	
ขอบคุณ ค่ะ/ครับ	khop khun kha/khrap	kɔ̄pˇ kun kaˋ/krap~	謝謝你	derived	
ขอบคุณ มาก	khop khun mak	kɔ̄pˇ kun mākˋ	很謝謝你	derived	
ขอโทษ ค่ะ/ครับ	kho thot kha/khrap	kɔ̄ˊ tōtˋ kaˋ/krap~	對不起	derived	
ขอโทษจริง ๆ	kho thot jing jing	kɔ̄ˊ tōtˋ jing kɔ̄ˊ tōtˋ jing	真是對不起	derived	
ดี ค่ะ/ครับ	dee kha/khrap	dhī kaˋ/krap~	好	derived	
ดีมาก ค่ะ/ครับ	dee mak kha/khrap	dhī mākˋ kaˋ/krap~	很好	derived	
สวย	suay	sūayˊ	美	derived	
สวยมาก	suay mak	sūayˊ mākˋ	很美	derived	
เก่ง	keng	gēngˇ	棒	derived	
เก่งมาก	keng mak	gēngˇ mākˋ	很棒	derived	
สนุก	sanuk	saˇ nuk~	有趣、好玩	derived	
สนุกมาก	sanuk mak	saˇ nuk~ mākˋ	很有趣、很好玩	derived	
อร่อย	aroi	a rɔ̄iˋ	好吃	derived	
อร่อยมาก	aroi mak	a rɔ̄iˋ mākˋ	很好吃	derived	
แล้วเจอกันนะ	laew jer gan na	lɛ̄u~ jə̄ gan na~	待會兒見	derived	
สบายดีไหม	sabai dee mai	saˇ bāi dhī maiˊ	舒服嗎？/好嗎？	derived	
สบายดี	sabai dee	saˇ bāi dhī	好	derived	
ดีไหม	dee mai	dhī maiˊ	好嗎？	derived	
ดี	dee	dhī	好	derived	
ดีมาก	dee mak	dhī mākˋ	很好	derived	
ไม่ดี	mai dee	maiˋ dhī	不好	derived	
ไม่ค่อยดี	mai khoi dee	maiˋ kɔ̄iˋ dhī	不太好	derived	
สนุกไหม	sanuk mai	saˇ nuk~ maiˊ	好玩嗎？	derived	
สนุก	sanuk	saˇ nuk~	好玩	derived	
สนุกมาก	sanuk mak	saˇ nuk~ mākˋ	很好玩	derived	
ไม่สนุก	mai sanuk	maiˋ saˇ nuk~	不好玩	derived	
ไม่ค่อยสนุก	mai khoi sanuk	maiˋ kɔ̄iˋ saˇ nuk~	不太好玩	derived	
หิวไหม	hiu mai	hiwˊ maiˊ	餓嗎？	derived	
หิว	hiu	hiwˊ	餓	derived	
หิวมาก	hiu mak	hiwˊ mākˋ	很餓	derived	
ไม่หิว	mai hiu	maiˋ hiwˊ	不餓	derived	
ไม่ค่อยหิว	mai khoi hiu	maiˋ kɔ̄iˋ hiwˊ	不太餓	derived	
หิวน้ำนิดหน่อย	hiu nam nit noi	hiwˊ nām~ nit~ nɔ̄iˇ	有一點點口渴	derived	
เวลากินข้าว	wela gin khao	wē lā gin kāuˋ	吃飯時	derived	
เครื่องดื่ม	kruang duem	krɯ̄angˋ dɯ̄mˇ	飲料	derived	
เผ็ดไหม	pet mai	petˇ maiˊ	辣嗎？	derived	
เปรี้ยว	briau	brīauˋ	酸	derived	
เค็ม	kem	kem	鹹	derived	
หวาน	wan	wānˊ	甜	derived	
หอม	hom	hɔ̄mˊ	香	derived	
สด	sot	sotˇ	新鮮	derived	
อร่อย	aroi	a rɔ̄iˋ	好吃	derived	
น้ำร้อน	nam ron	nām~ rɔ̄n~	熱水	derived	
น้ำเย็น	nam yen	nām~ yen	冷水	derived	
ชา	cha	chā	茶	derived	
กาแฟ	gafe	gā fɛ̄	咖啡	derived	
โกโก้	gogo	gō gōˋ	可可	derived	
โค้ก	kok	kōk~	可樂	derived	
เป๊ปซี่	pepsi	bep~ sīˋ	百事可樂	derived	
เบียร์	bia	bīa	啤酒	derived	
โค้กเย็น	kok yen	kōk~ yen	冰可樂	derived	
โค้กไม่เย็น	kok mai yen	kōk~ maiˋ yen	不冰的可樂	derived	
เมืองไทยไกลไหม	muang thai glai mai	mɯ̄ang tai glai maiˊ	泰國遠嗎？	derived	
เมืองจีนใหญ่ไหม	muang jin yai mai	mɯ̄ang jīn yaiˇ maiˊ	中國大嗎？	derived	
เกาหลีหนาวไหม	gao-li nao mai	gāu līˊ nāuˊ maiˊ	韓國冷嗎？	derived	
ภาษาไทยยากไหม	phasa thai yaak mai	pā sāˊ tai yākˋ maiˊ	泰語難嗎？	derived	
ไทย	thai	tai	泰國	derived	
จีน	jin	jīn	中國	derived	
ลาว	lao	lāu	寮國	derived	
พม่า	pa ma	pa~ māˋ	緬甸	derived	
อินเดีย	india	in dhīa	印度	derived	
ญี่ปุ่น	yi bun	yīˋ bunˇ	日本	derived	
เกาหลี	gaoli	gāu līˊ	韓國	derived	
ไต้หวัน	dai wan	daiˋ wanˊ	台灣	derived	
เวียดนาม	viat nam	wīatˋ nām	越南	derived	
กัมพูชา	gam pu cha	gam pū chā	柬埔寨	derived	
มาเลเซีย	malesia	mā lē sīa	馬來西亞	derived	
สิงคโปร์	sing kabo	singˊ kaˇ bō	新加坡	derived	
ฟิลิปปินส์	filippin	fi~ lip~ bin	菲律賓	derived	
อินโดนีเซีย	indonesia	in dhō nī sīaˊ	印尼	derived	
อิตาลี	itali	iˇ dā lī	義大利	derived	
ฝรั่งเศส	farang set	faˇ rangˋ sētˇ	法國	derived	
เยอรมัน	yerman	yə̄ ra~ man	德國	derived	
อังกฤษ	angkrit	ang gritˇ	英國	derived	
อเมริกา	ameriga	aˇ mē riˇ gā	美國	derived	
สเปน	sa ben	saˇ bēn	西班牙	derived	
แคนาดา	kenada	kɛ̄ nā dhā	加拿大	derived	
ยุโรป	yu rop	yu~ rōpˋ	歐洲	derived	
แอฟริกา	afrika	ɛ̄pˇ frikˇ gā	非洲	derived	
เอเชีย	echia	ē chīa	亞洲	derived	
เอา...ไหม	au ... mai	au...maiˊ	要……嗎？	derived	
เอา / ไม่เอา	au / mai au	au / maiˋ au	要 / 不要	derived	
เอาอะไร	au arai	au aˇ rai	要甚麼？	derived	
กินไหม	gin mai	gin maiˊ	吃嗎？	derived	
กิน / ไม่กิน	gin / mai gin	gin / maiˋ gin	吃 / 不吃	derived	
กินอะไร	gin arai	gin aˇ rai	吃甚麼？	derived	
เอาได้ไหม	au dai mai	au dhaiˋ maiˊ	要（拿）得嗎？	derived	
เอาได้	au dai	au dhaiˋ	要（拿）得	derived	
เอาไม่ได้	au mai dai	au maiˋ dhaiˋ	不要（拿）得	derived	
กินได้ไหม	gin dai mai	gin dhaiˋ maiˊ	吃得嗎？	derived	
กินได้	gin dai	gin dhaiˋ	可以吃	derived	
กินไม่ได้	gin mai dai	gin maiˋ dhaiˋ	吃不得	derived	
ชอบ...ไหม	chop ... mai	chɔ̄pˋ...maiˊ	喜歡……嗎？	derived	
ชอบ / ไม่ชอบ	chop / mai chop	chɔ̄pˋ / maiˋ chɔ̄pˋ	喜歡 / 不喜歡	derived	
อยาก...ไหม	yaak ... mai	yākˋ...maiˊ	想要……嗎？	derived	
อยาก / ไม่อยาก	yaak / mai yaak	yākˋ / maiˋ yākˋ	想 / 不想	derived	
อยู่ไหม	yu mai	yūˋ maiˊ	在嗎？	derived	
ไปไหม	bai mai	bai maiˊ	去嗎？	derived	
มาไหม	maa mai	mā maiˊ	來嗎？	derived	
เดินไหม	dern mai	dhə̄n maiˊ	走嗎？	derived	
ดื่มไหม	duem mai	dɯ̄mˇ maiˊ	喝嗎？	derived	
นั่งไหม	nang mai	nangˋ maiˊ	坐嗎？	derived	
นอนไหม	non mai	nɔ̄n maiˊ	睡嗎？	derived	
ซื้อไหม	seu mai	sɯ̄~ maiˊ	買嗎？	derived	
ทำไหม	tam mai	tam maiˊ	做嗎？	derived	
เรียนไหม	rian mai	rīan maiˊ	學嗎？	derived	
ฟังไหม	fang mai	fang maiˊ	聽嗎？	derived	
พูดไหม	phut mai	pūtˋ maiˊ	說嗎？	derived	
อ่านไหม	aan mai	ānˇ maiˊ	讀嗎？	derived	
เขียนไหม	kian mai	kīanˊ maiˊ	寫嗎？	derived	
อยู่ที่ไหน	yuu thi nai	yūˋ tīˋ naiˊ	在哪？	derived	
อยู่ตรงไหน	yuu trong nai	yūˋ drong naiˊ	在哪裡啊？（確切位置）	derived	
อยู่ไหน	yu nai	yūˋ naiˊ	在哪裡？	derived	
ไปไหน	pai nai	bai naiˊ	去哪？	derived	
มาจากไหน	maa jak nai	mā jākˇ naiˊ	從哪來？	derived	
เดินไปไหน	dern pai nai	dhə̄n bai naiˊ	走去哪？	derived	
ดื่มอะไร	duem arai	dɯ̄mˇ aˇ rai	喝什麼？	derived	
นั่งที่ไหน	nang ti nai	nangˋ tīˋ naiˊ	坐在哪？	derived	
นอนที่ไหน	non ti nai	nɔ̄n tīˋ naiˊ	睡在哪？	derived	
ซื้อที่ไหน	seu ti nai	sɯ̄~ tīˋ naiˊ	在哪買？	derived	
ทำที่ไหน	tam ti nai	tam tīˋ naiˊ	在哪做？	derived	
เรียนที่ไหน	rian ti nai	rīan tīˋ naiˊ	在哪學？	derived	
ฟังจากไหน	fang jak nai	fang jākˇ naiˊ	從哪聽？	derived	
พูดได้ไหม	phut dai mai	pūtˋ dhaiˋ maiˊ	能說嗎？	derived	
อ่านได้ไหม	aan dai mai	ānˇ dhaiˋ maiˊ	能讀嗎？	derived	
เขียนที่ไหน	kian ti nai	kīanˊ tīˋ naiˊ	寫在哪？	derived	
อยู่ไกลไหม	yu glai mai	yūˋ glai maiˊ	在很遠嗎？	derived	
ไปนานไหม	pai nan mai	bai nān maiˊ	去很久嗎？	derived	
มานานไหม	maa nan mai	mā nān maiˊ	來很久嗎？	derived	
เดินนานไหม	dern nan mai	dhə̄n nān maiˊ	走很久嗎？	derived	
ดื่มนานไหม	duem nan mai	dɯ̄mˇ nān maiˊ	喝很久嗎？	derived	
นั่งต่อไหม	nang to mai	nangˋ dɔ̄ˇ maiˊ	繼續坐嗎？	derived	
นอนพอไหม	non por mai	nɔ̄n pɔ̄ maiˊ	睡夠嗎？	derived	
ซื้อแพงไหม	sue phaeng mai	sɯ̄~ pɛ̄ng maiˊ	買貴嗎？	derived	
ทำยากไหม	tam yaak mai	tam yākˋ maiˊ	難做嗎？	derived	
เรียนยากไหม	rian yaak mai	rīan yākˋ maiˊ	難學嗎？	derived	
บางคน	fang tor mai	bāng kon	繼續聽嗎？	derived	
พูดนานไหม	phut nan mai	pūtˋ nān maiˊ	講很久嗎？	derived	
อ่านออกไหม	aan ok mai	ānˇ ɔ̄kˇ maiˊ	讀得出來嗎？	derived	
เขียนเป็นไหม	kian pen mai	kīanˊ ben maiˊ	會寫嗎？	derived	
ใจร้อน	jai ron	jai rɔ̄n~	性急	derived	
ใจเย็น	jai yen	jai yen	冷靜	derived	
ใจดี	jai dee	jai dhī	心地好	derived	
ใจร้าย	jai rai	jai rāi~	壞心	derived	
พอใจ	phor jai	pɔ̄ jai	滿意	derived	
ดีใจ	dee jai	dhī jai	開心	derived	
สบายใจ	sabai jai	saˇ bāi jai	心裡舒服	derived	
เข้าใจ	khao jai	hāmˋ - kauˋ - jai	了解	book-assisted	
มีเวลาไหม	mii we-laa mai	mī - wē lā maiˊ	有時間嗎？	book-assisted	
ข้าว	khao	kāuˋ	飯	derived	
น้ำ	nam	nām~	水	derived	
ชา	cha	chā	茶	derived	
หมี่	mii	mīˇ	麵	derived	
เส้นหมี่	sen mii	sēnˋ mīˇ	米粉	derived	
ก๋วยเตี๋ยว	kuay tiao	gūayˊ dīauˊ	粿條	derived	
วุ้นเส้น	wun sen	wūn~ sēnˋ	粉絲	derived	
ข้าวเปล่า	khao plao	kāuˋ blāuˇ	白飯	derived	
น้ำเปล่า	nam plao	nām~ blāuˇ	白開水	derived	
ชาร้อน	cha ron	chā rɔ̄n~	熱茶	derived	
หมี่ผัด	mii phat	mīˇ patˇ	炒麵	derived	
เส้นหมี่ผัด	sen mii phat	sēnˋ mīˇ patˇ	炒米粉	derived	
ก๋วยเตี๋ยวผัด	kuay tiao phat	gūayˊ dīauˊ patˇ	炒粿條	derived	
วุ้นเส้นผัด	wun sen phat	wūn~ sēnˋ patˇ	炒粉絲	derived	
ข้าวเหนียว	khao nio	kāuˋ nīauˊ	糯米飯	derived	
น้ำแข็ง	nam khaeng	nām~ kɛngˊ	冰塊	derived	
ชาเย็น	cha yen	chā yen	冰茶	derived	
หมี่แห้ง	mii haeng	mīˇ hɛ̄ngˋ	乾麵	derived	
เส้นหมี่แห้ง	sen mii haeng	sēnˋ mīˇ hɛ̄ngˋ	乾米粉	derived	
ก๋วยเตี๋ยวแห้ง	kuay tiao haeng	gūayˊ dīauˊ hɛ̄ngˋ	乾粿條	derived	
วุ้นเส้นแห้ง	wun sen haeng	wūn~ sēnˋ hɛ̄ngˋ	乾粉絲	derived	
ข้าวต้ม	khao tom	kāuˋ domˋ	燉飯	derived	
น้ำจิ้ม	nam jim	nām~ jimˋ	沾醬	derived	
